"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time 15 mins - < 30 mins","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","17251"
"Journey time 15 mins - < 30 mins","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","14624"
"Journey time 15 mins - < 30 mins","2022","Male","On foot","Students at school or college aged 19 years and over","Number","6684"
"Journey time 15 mins - < 30 mins","2022","Male","Bicycle","All persons","Number","29897"
"Journey time 15 mins - < 30 mins","2022","Male","Bicycle","Population aged 15 years and over at work","Number","19296"
"Journey time 15 mins - < 30 mins","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","2934"
"Journey time 15 mins - < 30 mins","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","5053"
"Journey time 15 mins - < 30 mins","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","2614"
"Journey time 15 mins - < 30 mins","2022","Male","Bus, minibus or coach","All persons","Number","44847"
"Journey time 15 mins - < 30 mins","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","9162"
"Journey time 15 mins - < 30 mins","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","11143"
"Journey time 15 mins - < 30 mins","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","21380"
"Journey time 15 mins - < 30 mins","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","3162"
"Journey time 15 mins - < 30 mins","2022","Male","Train, DART or LUAS","All persons","Number","5159"
"Journey time 15 mins - < 30 mins","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","3284"
"Journey time 15 mins - < 30 mins","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","204"
"Journey time 15 mins - < 30 mins","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","886"
"Journey time 15 mins - < 30 mins","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","785"
"Journey time 15 mins - < 30 mins","2022","Male","Motorcycle or scooter","All persons","Number","3005"
"Journey time 15 mins - < 30 mins","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","2810"
"Journey time 15 mins - < 30 mins","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 15 mins - < 30 mins","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","66"
"Journey time 15 mins - < 30 mins","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","129"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Driver","All persons","Number","183960"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","176781"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1478"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","5701"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Passenger","All persons","Number","78040"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","12675"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","34002"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","28740"
"Journey time 15 mins - < 30 mins","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2623"
"Journey time 15 mins - < 30 mins","2022","Male","Van","All persons","Number","31055"
"Journey time 15 mins - < 30 mins","2022","Male","Van","Population aged 15 years and over at work","Number","30738"
"Journey time 15 mins - < 30 mins","2022","Male","Van","Children at school aged between 5 and 12 years","Number","140"
"Journey time 15 mins - < 30 mins","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","98"
"Journey time 15 mins - < 30 mins","2022","Male","Van","Students at school or college aged 19 years and over","Number","79"
"Journey time 15 mins - < 30 mins","2022","Male","Other, incl. lorry","All persons","Number","2518"
"Journey time 15 mins - < 30 mins","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","2382"
"Journey time 15 mins - < 30 mins","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","69"
"Journey time 15 mins - < 30 mins","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","50"
"Journey time 15 mins - < 30 mins","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","17"
"Journey time 15 mins - < 30 mins","2022","Male","Not stated","All persons","Number","2097"
"Journey time 15 mins - < 30 mins","2022","Male","Not stated","Population aged 15 years and over at work","Number","721"
"Journey time 15 mins - < 30 mins","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","904"
"Journey time 15 mins - < 30 mins","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","416"
"Journey time 15 mins - < 30 mins","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","56"
"Journey time 15 mins - < 30 mins","2022","Male","All means of travel","All persons","Number","442798"
"Journey time 15 mins - < 30 mins","2022","Male","All means of travel","Population aged 15 years and over at work","Number","281510"
"Journey time 15 mins - < 30 mins","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","66647"
"Journey time 15 mins - < 30 mins","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","72791"
"Journey time 15 mins - < 30 mins","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","21850"
"Journey time 15 mins - < 30 mins","2022","Female","On foot","All persons","Number","76977"
"Journey time 15 mins - < 30 mins","2022","Female","On foot","Population aged 15 years and over at work","Number","33605"
"Journey time 15 mins - < 30 mins","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","18081"
"Journey time 15 mins - < 30 mins","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","16072"
"Journey time 15 mins - < 30 mins","2022","Female","On foot","Students at school or college aged 19 years and over","Number","9219"
"Journey time 15 mins - < 30 mins","2022","Female","Bicycle","All persons","Number","11473"
"Journey time 15 mins - < 30 mins","2022","Female","Bicycle","Population aged 15 years and over at work","Number","7947"
"Journey time 15 mins - < 30 mins","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","1642"
"Journey time 15 mins - < 30 mins","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","779"
"Journey time 15 mins - < 30 mins","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","1105"
"Journey time 15 mins - < 30 mins","2022","Female","Bus, minibus or coach","All persons","Number","48114"
"Journey time 15 mins - < 30 mins","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","12921"
"Journey time 15 mins - < 30 mins","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","10272"
"Journey time 15 mins - < 30 mins","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","20791"
"Journey time 15 mins - < 30 mins","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","4130"
"Journey time 15 mins - < 30 mins","2022","Female","Train, DART or LUAS","All persons","Number","5643"
"Journey time 15 mins - < 30 mins","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","3533"
"Journey time 15 mins - < 30 mins","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","144"
"Journey time 15 mins - < 30 mins","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","975"
"Journey time 15 mins - < 30 mins","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","991"
"Journey time 15 mins - < 30 mins","2022","Female","Motorcycle or scooter","All persons","Number","609"
"Journey time 15 mins - < 30 mins","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","547"
"Journey time 15 mins - < 30 mins","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 15 mins - < 30 mins","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","12"
"Journey time 15 mins - < 30 mins","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","50"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Driver","All persons","Number","221806"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","213519"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1114"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","7173"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Passenger","All persons","Number","84143"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","16956"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","33208"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","30668"
"Journey time 15 mins - < 30 mins","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","3311"
"Journey time 15 mins - < 30 mins","2022","Female","Van","All persons","Number","1009"
"Journey time 15 mins - < 30 mins","2022","Female","Van","Population aged 15 years and over at work","Number","819"
"Journey time 15 mins - < 30 mins","2022","Female","Van","Children at school aged between 5 and 12 years","Number","79"
"Journey time 15 mins - < 30 mins","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","97"
"Journey time 15 mins - < 30 mins","2022","Female","Van","Students at school or college aged 19 years and over","Number","14"
"Journey time 15 mins - < 30 mins","2022","Female","Other, incl. lorry","All persons","Number","343"
"Journey time 15 mins - < 30 mins","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","217"
"Journey time 15 mins - < 30 mins","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","56"
"Journey time 15 mins - < 30 mins","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","54"
"Journey time 15 mins - < 30 mins","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","16"
"Journey time 15 mins - < 30 mins","2022","Female","Not stated","All persons","Number","1929"
"Journey time 15 mins - < 30 mins","2022","Female","Not stated","Population aged 15 years and over at work","Number","600"
"Journey time 15 mins - < 30 mins","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","889"
"Journey time 15 mins - < 30 mins","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","367"
"Journey time 15 mins - < 30 mins","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","73"
"Journey time 15 mins - < 30 mins","2022","Female","All means of travel","All persons","Number","452046"
"Journey time 15 mins - < 30 mins","2022","Female","All means of travel","Population aged 15 years and over at work","Number","290664"
"Journey time 15 mins - < 30 mins","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","64371"
"Journey time 15 mins - < 30 mins","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","70929"
"Journey time 15 mins - < 30 mins","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","26082"
"Journey time 30 mins - < 45 mins","2022","Both sexes","On foot","All persons","Number","41070"
"Journey time 30 mins - < 45 mins","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","24858"
"Journey time 30 mins - < 45 mins","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","4082"
"Journey time 30 mins - < 45 mins","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","6378"
"Journey time 30 mins - < 45 mins","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","5752"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bicycle","All persons","Number","16553"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","13998"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","390"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","763"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","1402"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bus, minibus or coach","All persons","Number","89003"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","33719"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","9437"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","33265"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","12582"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Train, DART or LUAS","All persons","Number","22898"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","16424"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","294"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2341"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3839"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motorcycle or scooter","All persons","Number","2229"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","2082"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","13"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","134"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Driver","All persons","Number","292328"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","279735"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","809"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","11784"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Passenger","All persons","Number","45264"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","14156"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","13625"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","13402"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4081"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Van","All persons","Number","36750"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Van","Population aged 15 years and over at work","Number","36500"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","71"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","65"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","114"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Other, incl. lorry","All persons","Number","2312"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","2213"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","18"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","51"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","30"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Not stated","All persons","Number","1822"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","966"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","424"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","283"
"Journey time 30 mins - < 45 mins","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","149"
"Journey time 30 mins - < 45 mins","2022","Both sexes","All means of travel","All persons","Number","550229"
"Journey time 30 mins - < 45 mins","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","424651"
"Journey time 30 mins - < 45 mins","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","28341"
"Journey time 30 mins - < 45 mins","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","57370"
"Journey time 30 mins - < 45 mins","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","39867"
"Journey time 30 mins - < 45 mins","2022","Male","On foot","All persons","Number","18067"
"Journey time 30 mins - < 45 mins","2022","Male","On foot","Population aged 15 years and over at work","Number","10719"
"Journey time 30 mins - < 45 mins","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","2032"
"Journey time 30 mins - < 45 mins","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","2847"
"Journey time 30 mins - < 45 mins","2022","Male","On foot","Students at school or college aged 19 years and over","Number","2469"
"Journey time 30 mins - < 45 mins","2022","Male","Bicycle","All persons","Number","11944"
"Journey time 30 mins - < 45 mins","2022","Male","Bicycle","Population aged 15 years and over at work","Number","10112"
"Journey time 30 mins - < 45 mins","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","233"
"Journey time 30 mins - < 45 mins","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","621"
"Journey time 30 mins - < 45 mins","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","978"
"Journey time 30 mins - < 45 mins","2022","Male","Bus, minibus or coach","All persons","Number","42806"
"Journey time 30 mins - < 45 mins","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","15233"
"Journey time 30 mins - < 45 mins","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","5106"
"Journey time 30 mins - < 45 mins","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","16703"
"Journey time 30 mins - < 45 mins","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","5764"
"Journey time 30 mins - < 45 mins","2022","Male","Train, DART or LUAS","All persons","Number","11372"
"Journey time 30 mins - < 45 mins","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","8283"
"Journey time 30 mins - < 45 mins","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","150"
"Journey time 30 mins - < 45 mins","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1135"
"Journey time 30 mins - < 45 mins","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1804"
"Journey time 30 mins - < 45 mins","2022","Male","Motorcycle or scooter","All persons","Number","1912"
"Journey time 30 mins - < 45 mins","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","1802"
"Journey time 30 mins - < 45 mins","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 30 mins - < 45 mins","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","11"
"Journey time 30 mins - < 45 mins","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","99"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Driver","All persons","Number","145405"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","139355"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","446"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","5604"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Passenger","All persons","Number","22851"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","7442"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","6989"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","6585"
"Journey time 30 mins - < 45 mins","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","1835"
"Journey time 30 mins - < 45 mins","2022","Male","Van","All persons","Number","36010"
"Journey time 30 mins - < 45 mins","2022","Male","Van","Population aged 15 years and over at work","Number","35824"
"Journey time 30 mins - < 45 mins","2022","Male","Van","Children at school aged between 5 and 12 years","Number","43"
"Journey time 30 mins - < 45 mins","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","38"
"Journey time 30 mins - < 45 mins","2022","Male","Van","Students at school or college aged 19 years and over","Number","105"
"Journey time 30 mins - < 45 mins","2022","Male","Other, incl. lorry","All persons","Number","2164"
"Journey time 30 mins - < 45 mins","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","2107"
"Journey time 30 mins - < 45 mins","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","9"
"Journey time 30 mins - < 45 mins","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","34"
"Journey time 30 mins - < 45 mins","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","14"
"Journey time 30 mins - < 45 mins","2022","Male","Not stated","All persons","Number","1020"
"Journey time 30 mins - < 45 mins","2022","Male","Not stated","Population aged 15 years and over at work","Number","588"
"Journey time 30 mins - < 45 mins","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","224"
"Journey time 30 mins - < 45 mins","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","144"
"Journey time 30 mins - < 45 mins","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","64"
"Journey time 30 mins - < 45 mins","2022","Male","All means of travel","All persons","Number","293551"
"Journey time 30 mins - < 45 mins","2022","Male","All means of travel","Population aged 15 years and over at work","Number","231465"
"Journey time 30 mins - < 45 mins","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","14786"
"Journey time 30 mins - < 45 mins","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","28564"
"Journey time 30 mins - < 45 mins","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","18736"
"Journey time 30 mins - < 45 mins","2022","Female","On foot","All persons","Number","23003"
"Journey time 30 mins - < 45 mins","2022","Female","On foot","Population aged 15 years and over at work","Number","14139"
"Journey time 30 mins - < 45 mins","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","2050"
"Journey time 30 mins - < 45 mins","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","3531"
"Journey time 30 mins - < 45 mins","2022","Female","On foot","Students at school or college aged 19 years and over","Number","3283"
"Journey time 30 mins - < 45 mins","2022","Female","Bicycle","All persons","Number","4609"
"Journey time 30 mins - < 45 mins","2022","Female","Bicycle","Population aged 15 years and over at work","Number","3886"
"Journey time 30 mins - < 45 mins","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","157"
"Journey time 30 mins - < 45 mins","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","142"
"Journey time 30 mins - < 45 mins","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","424"
"Journey time 30 mins - < 45 mins","2022","Female","Bus, minibus or coach","All persons","Number","46197"
"Journey time 30 mins - < 45 mins","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","18486"
"Journey time 30 mins - < 45 mins","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","4331"
"Journey time 30 mins - < 45 mins","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","16562"
"Journey time 30 mins - < 45 mins","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","6818"
"Journey time 30 mins - < 45 mins","2022","Female","Train, DART or LUAS","All persons","Number","11526"
"Journey time 30 mins - < 45 mins","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","8141"
"Journey time 30 mins - < 45 mins","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","144"
"Journey time 30 mins - < 45 mins","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","1206"
"Journey time 30 mins - < 45 mins","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2035"
"Journey time 30 mins - < 45 mins","2022","Female","Motorcycle or scooter","All persons","Number","317"
"Journey time 30 mins - < 45 mins","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","280"
"Journey time 30 mins - < 45 mins","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 30 mins - < 45 mins","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","2"
"Journey time 30 mins - < 45 mins","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","35"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Driver","All persons","Number","146923"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","140380"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","363"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","6180"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Passenger","All persons","Number","22413"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","6714"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","6636"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","6817"
"Journey time 30 mins - < 45 mins","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2246"
"Journey time 30 mins - < 45 mins","2022","Female","Van","All persons","Number","740"
"Journey time 30 mins - < 45 mins","2022","Female","Van","Population aged 15 years and over at work","Number","676"
"Journey time 30 mins - < 45 mins","2022","Female","Van","Children at school aged between 5 and 12 years","Number","28"
"Journey time 30 mins - < 45 mins","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","27"
"Journey time 30 mins - < 45 mins","2022","Female","Van","Students at school or college aged 19 years and over","Number","9"
"Journey time 30 mins - < 45 mins","2022","Female","Other, incl. lorry","All persons","Number","148"
"Journey time 30 mins - < 45 mins","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","106"
"Journey time 30 mins - < 45 mins","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","9"
"Journey time 30 mins - < 45 mins","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","17"
"Journey time 30 mins - < 45 mins","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","16"
"Journey time 30 mins - < 45 mins","2022","Female","Not stated","All persons","Number","802"
"Journey time 30 mins - < 45 mins","2022","Female","Not stated","Population aged 15 years and over at work","Number","378"
"Journey time 30 mins - < 45 mins","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","200"
