"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Total Persons","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","5401"
"Total Persons","2022","Male","Bus, minibus or coach","All persons","Number","155230"
"Total Persons","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","54370"
"Total Persons","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","27354"
"Total Persons","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","51137"
"Total Persons","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","22369"
"Total Persons","2022","Male","Train, DART or LUAS","All persons","Number","42668"
"Total Persons","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","31301"
"Total Persons","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","507"
"Total Persons","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","3473"
"Total Persons","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","7387"
"Total Persons","2022","Male","Motorcycle or scooter","All persons","Number","7658"
"Total Persons","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","7153"
"Total Persons","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Total Persons","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","155"
"Total Persons","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","350"
"Total Persons","2022","Male","Motor car: Driver","All persons","Number","611850"
"Total Persons","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","585878"
"Total Persons","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Total Persons","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","3743"
"Total Persons","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","22229"
"Total Persons","2022","Male","Motor car: Passenger","All persons","Number","280636"
"Total Persons","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","38846"
"Total Persons","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","157166"
"Total Persons","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","76856"
"Total Persons","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","7768"
"Total Persons","2022","Male","Van","All persons","Number","144452"
"Total Persons","2022","Male","Van","Population aged 15 years and over at work","Number","143102"
"Total Persons","2022","Male","Van","Children at school aged between 5 and 12 years","Number","597"
"Total Persons","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","334"
"Total Persons","2022","Male","Van","Students at school or college aged 19 years and over","Number","419"
"Total Persons","2022","Male","Other, incl. lorry","All persons","Number","12414"
"Total Persons","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","11838"
"Total Persons","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","237"
"Total Persons","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","215"
"Total Persons","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","124"
"Total Persons","2022","Male","Not stated","All persons","Number","139457"
